nim,nama,password,nip_dosen_wali,matkul_lulus,semester,ip_terakhir
2501001,Aditya Pratama,123,19800101,-,1,0.00
2501002,Aulia Rahma,123,19800102,-,1,0.00
2501003,Bima Saputra,123,19800103,-,1,0.00
2501004,Citra Lestari,123,19800104,-,1,0.00
2501005,Daffa Maulana,123,19800105,-,1,0.00
2501006,Elsa Maharani,123,19800106,-,1,0.00
2501007,Fajar Nugraha,123,19800107,-,1,0.00
2501008,Gita Permata,123,19800108,-,1,0.00
2501009,Hilmi Ramadhan,123,19800101,-,1,0.00
2501010,Intan Nuraini,123,19800102,-,1,0.00
2402001,Jihan Azzahra,123,19800103,RL118;RL117;RL115;RL116;KU110;KU100;KU106,2,3.72
2402002,Kania Putri,123,19800104,RL118;RL117;RL115;RL116;KU110;KU100;KU106,2,3.44
2402003,Luthfi Hakim,123,19800105,RL118;RL117;RL115;RL116;KU110;KU100;KU106,2,3.10
2402004,Maulana Yusuf,123,19800106,RL118;RL117;RL115;RL116;KU110;KU100;KU106,2,2.95
2402005,Nadia Salsabila,123,19800107,RL118;RL117;RL115;RL116;KU110;KU100;KU106,2,3.80
2402006,Oki Firmansyah,123,19800108,RL118;RL117;RL115;RL116;KU110;KU100;KU106,2,3.22
2402007,Putri Amalia,123,19800101,RL118;RL117;RL115;RL116;KU110;KU100;KU106,2,3.01
2402008,Raka Wijaya,123,19800102,RL118;RL117;RL115;RL116;KU110;KU100;KU106,2,2.76
2402009,Salsa Nabila,123,19800103,RL118;RL117;RL115;RL116;KU110;KU100;KU106,2,3.56
2402010,Tegar Prakoso,123,19800104,RL118;RL117;RL115;RL116;KU110;KU100;KU106,2,3.33
2303001,Umar Faruq,123,19800105,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119,3,3.65
2303002,Vina Oktaviani,123,19800106,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108,3,3.20
2303003,Wahyu Ramadhan,123,19800107,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119,3,2.88
2303004,Xena Maharani,123,19800108,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108,3,3.92
2303005,Yoga Saputra,123,19800101,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119,3,3.48
2303006,Zahra Amelia,123,19800102,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108,3,3.05
2303007,Arkan Athaya,123,19800103,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119,3,3.78
2303008,Berlianda Putra,123,19800104,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108,3,2.91
2303009,Cahya Pradana,123,19800105,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119,3,3.14
2303010,Dinda Maharani,123,19800106,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108,3,3.61
2204001,Erlangga Putra,123,19800107,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;KU300;UN200,4,3.70
2204002,Fira Andini,123,19800108,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108;RL220;RL217;RL219;RL315;RL218;KU300,4,3.12
2204003,Gilang Ramadhan,123,19800101,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218,4,2.84
2204004,Hana Syakira,123,19800102,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108;RL220;RL217;RL219;RL315;RL218;KU300;UN200;KU409,4,3.89
2204005,Ilham Fauzi,123,19800103,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;KU300,4,3.41
2204006,Jasmine Nurul,123,19800104,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108;RL220;RL217;RL219;RL315;RL218;KU300,4,3.23
2204007,Kevin Alfarizi,123,19800105,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;KU300;UN200,4,3.55
2204008,Laras Cahyani,123,19800106,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108;RL220;RL217;RL219;RL315;RL218,4,2.99
2204009,Mario Brasco Putra Hamdani,123,19800107,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;KU300;UN200,4,3.76
2204010,Muhammad Azzuri Sulthan Aulia Wahab,12345,19800108,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108;RL220;RL217;RL219;RL315;RL218;KU300;UN200,4,3.50
2105001,Naufal Rizky,123,19800101,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;KU300;UN200;RL316;RL317;RL318;PT400;RL320;RL322;RL323,5,3.62
2105002,Olivia Putri,123,19800102,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU108;RL220;RL217;RL219;RL315;RL218;KU300;RL316;RL317;RL318;PT400;RL320;RL322,5,3.18
2105003,Pandu Prasetya,123,19800103,RL118;RL117;RL115;RL116;KU110;KU100;KU106;RL120;RL216;CB401;RL215;KU105;DK300;KU119;RL220;RL217;RL219;RL315;RL218;RL316;RL317;RL318;PT400;RL320,5,2.90
